Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336064611,281061984563812,-0.0765686,4.37648,9.28894
android.sensor.accelerometer,1538336064611,281062004400238,-0.100494385,4.37648,9.190826
android.sensor.accelerometer,1538336064611,281062024236663,-0.06700134,4.400406,9.202789
android.sensor.accelerometer,1538336064630,281062044073089,-0.06460571,4.4602203,9.181259
android.sensor.accelerometer,1538336064649,281062063940033,-0.04307556,4.4889374,9.090332
android.sensor.accelerometer,1538336064671,281062083776458,0.01914978,4.47937,9.095123
android.sensor.accelerometer,1538336064689,281062103612884,-0.028717041,4.462616,9.181259
android.sensor.accelerometer,1538336064715,281062123449310,-0.03111267,4.512863,9.142975
android.sensor.accelerometer,1538336064732,281062143285736,-0.1483612,4.520035,9.097519
android.sensor.accelerometer,1538336064753,281062163122161,-0.20578003,4.520035,9.107086
android.sensor.accelerometer,1538336064772,281062182958587,-0.13400269,4.503296,9.229111
android.sensor.accelerometer,1538336064792,281062202825531,-0.100494385,4.491333,9.394226
android.sensor.accelerometer,1538336064813,281062222661956,-0.114852905,4.512863,9.499512
android.sensor.accelerometer,1538336064829,281062242498382,-0.22492981,4.606186,9.339188
android.sensor.accelerometer,1538336064851,281062262334808,-0.35414124,4.7569275,9.312866
android.sensor.accelerometer,1538336064872,281062282171234,-0.79441833,5.065613,9.705292
android.sensor.accelerometer,1538336064892,281062302007660,-1.2322998,5.44606,10.203003
android.sensor.accelerometer,1538336064911,281062321844085,-2.009964,5.888733,10.87059
android.sensor.accelerometer,1538336064930,281062341711029,-2.5770721,6.599411,12.540787
android.sensor.accelerometer,1538336064950,281062361547454,-3.1824493,6.9056854,15.005386
android.sensor.accelerometer,1538336064971,281062381383880,-3.7998047,6.5946198,16.534409
android.sensor.accelerometer,1538336064990,281062401220306,-3.969696,6.2883453,17.127823
android.sensor.accelerometer,1538336065010,281062421056732,-4.37648,6.0227356,16.735397
android.sensor.accelerometer,1538336065032,281062440923675,-4.491333,5.5872345,16.99382
android.sensor.accelerometer,1538336065049,281062460760101,-4.249649,5.0727844,17.520248
android.sensor.accelerometer,1538336065070,281062480596527,-3.6179504,4.82872,18.34816
android.sensor.accelerometer,1538336065089,281062500432952,-2.766098,4.3908234,17.869598
android.sensor.accelerometer,1538336065108,281062520269378,-1.3997955,3.2279205,15.704102
android.sensor.accelerometer,1538336065130,281062540105804,-0.04067993,2.2947235,12.7369995
android.sensor.accelerometer,1538336065148,281062559942230,0.13400269,1.5816498,9.109482
android.sensor.accelerometer,1538336065168,281062579778656,0.8805542,1.6917267,5.7547455
android.sensor.accelerometer,1538336065189,281062599615081,1.6342926,1.8951111,3.8883362
android.sensor.accelerometer,1538336065208,281062619451507,2.4143524,1.8137665,3.1489563
android.sensor.accelerometer,1538336065228,281062639318451,2.5387878,1.306488,3.0795593
