Sensor, CurrentTimeMs, SensorTimestampNano, X, Y, Z
android.sensor.accelerometer,1538336491038,281488449267835,4.1324005,1.5840454,9.109482
android.sensor.accelerometer,1538336491056,281488469104261,4.3381805,1.5673065,9.365509
android.sensor.accelerometer,1538336491073,281488488940687,4.1228333,1.5050812,9.434906
android.sensor.accelerometer,1538336491094,281488508777112,4.0917206,1.5457611,9.200409
android.sensor.accelerometer,1538336491114,281488528613538,4.187439,1.5673065,9.097519
android.sensor.accelerometer,1538336491134,281488548449964,4.1204376,1.529007,9.159729
android.sensor.accelerometer,1538336491156,281488568286390,4.065399,1.5409851,9.159729
android.sensor.accelerometer,1538336491177,281488588122815,4.1395874,1.557724,9.169296
android.sensor.accelerometer,1538336491196,281488607959241,4.0055847,1.4787598,9.310471
android.sensor.accelerometer,1538336491217,281488627795667,3.8332977,1.409378,9.367905
android.sensor.accelerometer,1538336491235,281488647632093,3.7112732,1.3447723,9.269791
android.sensor.accelerometer,1538336491256,281488667468519,3.5605164,1.311264,9.202789
android.sensor.accelerometer,1538336491275,281488687335462,3.5270233,1.2801666,9.317657
android.sensor.accelerometer,1538336491295,281488707171888,3.3643036,1.0432739,9.339188
android.sensor.accelerometer,1538336491315,281488727008313,2.7517395,0.5862427,9.564117
android.sensor.accelerometer,1538336491335,281488746875257,2.1631165,0.2632141,10.064209
android.sensor.accelerometer,1538336491356,281488766711683,2.2372894,-0.5048828,9.812973
android.sensor.accelerometer,1538336491374,281488786548108,1.7060852,0.06939697,10.738983
android.sensor.accelerometer,1538336491399,281488806384534,3.529419,-0.124420166,11.1840515
android.sensor.accelerometer,1538336491421,281488826220960,9.561722,0.8566284,10.126419
android.sensor.accelerometer,1538336491438,281488846057386,16.244873,3.0293121,7.668991
android.sensor.accelerometer,1538336491454,281488865893812,18.302704,5.1230316,3.1417694
android.sensor.accelerometer,1538336491474,281488885730237,22.243683,7.628311,-1.1964111
android.sensor.accelerometer,1538336491494,281488905566663,27.665817,8.602203,-2.5172424
android.sensor.accelerometer,1538336491515,281488925403089,21.018555,5.721237,-11.131409
android.sensor.accelerometer,1538336491533,281488945239515,2.5028992,6.278763,-39.766327
android.sensor.accelerometer,1538336491553,281488965106458,22.777283,5.350357,-53.515488
android.sensor.accelerometer,1538336491572,281488984942884,33.401413,-7.733597,-32.135605
android.sensor.accelerometer,1538336491593,281489004779310,20.209778,-22.473389,-6.508484
android.sensor.accelerometer,1538336491612,281489024615735,12.411575,-29.034515,16.079773
android.sensor.accelerometer,1538336491633,281489044452161,16.945969,-30.608994,28.8694
android.sensor.accelerometer,1538336491652,281489064288587,4.9483643,-40.706696,37.99803
android.sensor.accelerometer,1538336491672,281489084125013,-20.382065,-46.478195,65.221176
android.sensor.accelerometer,1538336491692,281489103961438,-28.737808,-41.9749,78.39844
android.sensor.accelerometer,1538336491715,281489123797864,-3.2996979,-44.906113,60.47142
android.sensor.accelerometer,1538336491732,281489143634290,29.001007,-40.08217,18.71666
android.sensor.accelerometer,1538336491752,281489163470716,32.19783,-28.821548,4.0534363
android.sensor.accelerometer,1538336491773,281489183307142,37.691742,-31.511078,6.3601227
android.sensor.accelerometer,1538336491792,281489203143567,17.5681,-61.249084,-19.350754
android.sensor.accelerometer,1538336491812,281489222979993,-47.705704,-58.025955,-71.57411
android.sensor.accelerometer,1538336491832,281489242816419,-61.517075,-33.458847,-78.32666
android.sensor.accelerometer,1538336491851,281489262683362,-35.267807,-33.248276,-52.723465
android.sensor.accelerometer,1538336491873,281489282519788,-32.91089,-24.445084,-30.362534
